year,temp_anomaly_c,event_count,total_deaths,total_affected,total_damage_m_usd
1960,-0.05,0,,,
1961,0.12,0,,,
1962,-0.12,0,,,
1963,0.18,0,,,
1964,-0.27,0,,,
1965,-0.04,0,,,
1966,0.03,0,,,
1967,-0.05,2,662.0,3100.0,6286.3
1968,-0.08,2,12.0,6090.0,32.5
1969,0.15,0,,,
1970,0.17,1,13.0,0.0,585.6
1971,-0.07,2,30.0,0.0,1078.5
1972,0.17,0,,,
1973,-0.4,1,12.0,12000.0,501.6
1974,-0.64,4,90.0,45640.0,7015.1
1975,-0.42,0,,,
1976,-0.18,4,0.0,10000.0,209.6
1977,0.16,1,3.0,0.0,11.2
1978,0.01,4,12.0,100.0,4908.3
1979,0.04,1,15.0,0.0,135.2
1980,0.22,0,,,
1981,0.21,2,2.0,80000.0,20738.8
1982,0.31,3,1.0,0.0,101.0
1983,0.39,1,75.0,11000.0,1259.8
1984,0.0,1,36.0,0.0,9.1
1985,0.05,3,38.0,100.0,452.5
1986,0.22,4,15.0,1012.0,724.8
1987,0.42,0,,,
1988,0.29,3,17.0,0.0,54.2
1989,0.15,4,33.0,2115.0,2803.5
1990,0.43,4,12.0,6800.0,1035.0
1991,0.27,3,0.0,408.0,1093.0
1992,0.07,3,2.0,7000120.0,4198.4
1993,0.22,4,18.0,3033100.0,10.0
1994,0.55,9,36.0,4011784.0,481.7
1995,0.23,5,9.0,931869.0,470.8
1996,0.04,9,21.0,636133.0,1871.6
1997,0.39,4,21.0,400.0,13.1
1998,0.67,6,20.0,15175.0,739.0
1999,0.21,5,8.0,12697.0,4136.0
2000,0.28,6,1.0,2150.0,974.6
2001,0.42,9,6.0,8608.0,569.7
2002,0.79,5,2.0,373.0,3575.1
2003,0.42,10,6.0,5190.0,801.5
2004,0.47,7,6.0,4265.0,186.8
2005,0.67,4,16.0,4420.0,224.9
2006,0.56,8,4.0,10271.0,1995.4
2007,0.45,2,11.0,5820.0,2118.1
2008,0.37,5,8.0,20400.0,3664.3
2009,0.76,6,535.0,36554.0,2207.9
2010,0.24,8,36.0,186000.0,14571.3
2011,-0.01,3,1.0,7637.0,3561.7
2012,0.44,2,4.0,16000.0,803.4
2013,1.2,3,9.0,8940.0,3185.9
2014,0.91,4,141.0,52829.0,1490.7
2015,0.83,8,16.0,8781.0,3615.8
2016,0.87,4,8.0,2836.0,829.9
2017,0.95,3,12.0,51143.0,4108.0
2018,1.14,3,0.0,600.0,1513.3
2019,1.52,3,35.0,19410.0,4908.0
2020,1.15,3,1.0,0.0,4726.9
2021,0.56,7,7.0,28718.0,3860.8
2022,0.5,5,31.0,247212.0,9053.0
2023,1.09,6,10.0,4137.0,0.0
2024,1.03,3,3.0,10608.0,570.0
