year,event_count,total_deaths,total_affected,total_damage_m_usd
1967,2,662,3100.0,6286.3
1968,2,12,6090.0,32.5
1970,1,13,0.0,585.6
1971,2,30,0.0,1078.5
1973,1,12,12000.0,501.6
1974,4,90,45640.0,7015.1
1976,4,0,10000.0,209.6
1977,1,3,0.0,11.2
1978,4,12,100.0,4908.3
1979,1,15,0.0,135.2
1981,2,2,80000.0,20738.8
1982,3,1,0.0,101.0
1983,1,75,11000.0,1259.8
1984,1,36,0.0,9.1
1985,3,38,100.0,452.5
1986,4,15,1012.0,724.8
1988,3,17,0.0,54.2
1989,4,33,2115.0,2803.5
1990,4,12,6800.0,1035.0
1991,3,0,408.0,1093.0
1992,3,2,7000120.0,4198.4
1993,4,18,3033100.0,10.0
1994,9,36,4011784.0,481.7
1995,5,9,931869.0,470.8
1996,9,21,636133.0,1871.6
1997,4,21,400.0,13.1
1998,6,20,15175.0,739.0
1999,5,8,12697.0,4136.0
2000,6,1,2150.0,974.6
2001,9,6,8608.0,569.7
2002,5,2,373.0,3575.1
2003,10,6,5190.0,801.5
2004,7,6,4265.0,186.8
2005,4,16,4420.0,224.9
2006,8,4,10271.0,1995.4
2007,2,11,5820.0,2118.1
2008,5,8,20400.0,3664.3
2009,6,535,36554.0,2207.9
2010,8,36,186000.0,14571.3
2011,3,1,7637.0,3561.7
2012,2,4,16000.0,803.4
2013,3,9,8940.0,3185.9
2014,4,141,52829.0,1490.7
2015,8,16,8781.0,3615.8
2016,4,8,2836.0,829.9
2017,3,12,51143.0,4108.0
2018,3,0,600.0,1513.3
2019,3,35,19410.0,4908.0
2020,3,1,0.0,4726.9
2021,7,7,28718.0,3860.8
2022,5,31,247212.0,9053.0
2023,6,10,4137.0,0.0
2024,3,3,10608.0,570.0
2025,4,7,50432.0,0.0
2026,2,3,977.0,0.0
